DATE,TIMESTAMP,XLAT,XLONG,HGT,RAINC,RAINNC,T_500hPa,T_700hPa,T_850hPa,QVAPOR_500,QVAPOR_700,QVAPOR_850,QCLOUD_500,QCLOUD_700,QCLOUD_850,QRAIN_500,QRAIN_700,QRAIN_850,QICE_500,QICE_700,QICE_850,QSNOW_500,QSNOW_700,QSNOW_850,QGRAUP_500,QGRAUP_700,QGRAUP_850,PRECIPITACION,LLUVIA
2015-02-04[00:00:00],1423004416.00000000,41.41069794,-2.30871582,1009.75207520,0.00000000,0.00000000,240.47393799,259.26266479,268.16491699,0.00032482,0.00134300,0.00161504,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000273,0.00000762,0.00000129,0.00000610,0.00000074,0.00000000,0.00000000,0.00000000,0.00000000,4.59800005,1
2015-02-04[00:00:00],1423004416.00000000,41.41038513,-2.27273560,976.69384766,0.00000000,0.00000000,240.50518799,259.22332764,268.15249634,0.00030347,0.00139153,0.00159749,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000075,0.00001016,0.00000147,0.00000142,0.00000167,0.00000000,0.00000000,0.00000000,0.00000000,4.97300005,1
2015-02-04[00:00:00],1423004416.00000000,41.41006470,-2.23678589,947.69567871,0.00000000,0.00000000,240.52069092,259.18881226,268.19088745,0.00028875,0.00142381,0.00157109,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001123,0.00000164,-0.00000000,0.00000218,0.00000000,0.00000000,0.00000000,0.00000000,5.29899979,1
2015-02-04[00:00:00],1423004416.00000000,41.40973663,-2.20080566,921.15441895,0.00000000,0.00000000,240.51432800,259.17956543,268.33358765,0.00028759,0.00144524,0.00153728,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001045,0.00000194,-0.00000000,0.00000188,0.00000000,0.00000000,0.00000000,0.00000000,5.59600019,1
2015-02-04[00:00:00],1423004416.00000000,41.40939331,-2.16482544,897.29943848,0.00000000,0.00000000,240.48974609,259.17089844,268.45675659,0.00029318,0.00146084,0.00151070,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000748,0.00000228,0.00000000,0.00000065,0.00000000,0.00000000,0.00000000,0.00000000,5.85500002,1
2015-02-04[00:00:00],1423004416.00000000,41.40903473,-2.12887573,884.97241211,0.00000000,0.00000000,240.47227478,259.18753052,268.53140259,0.00029583,0.00145291,0.00147712,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000499,0.00000289,0.00000018,0.00000053,0.00000000,0.00000000,0.00000000,0.00000000,5.91099977,1
2015-02-04[00:00:00],1423004416.00000000,41.40867615,-2.09289551,884.44384766,0.00000000,0.00000000,240.45333862,259.20654297,268.74633789,0.00030365,0.00141396,0.00142485,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000266,0.00000363,0.00000018,0.00000034,0.00000000,-0.00000000,0.00000000,0.00000000,4.90600014,1
2015-02-04[00:00:00],1423004416.00000000,41.40829086,-2.05694580,891.11047363,0.00000000,0.00000000,240.43289185,259.26348877,269.07684326,0.00031887,0.00133238,0.00133980,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000105,0.00000470,0.00000018,0.00000041,0.00000000,0.00000000,0.00000000,0.00000000,5.35200024,1
2015-02-04[00:00:00],1423004416.00000000,41.40790176,-2.02096558,891.91613770,0.00000000,0.00000000,240.41688538,259.33053589,269.27529907,0.00033014,0.00127831,0.00130504,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000507,0.00000003,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.36000013,1
2015-02-04[00:00:00],1423004416.00000000,41.40749741,-1.98498535,887.09936523,0.00000000,0.00000000,240.40444946,259.41537476,269.31472778,0.00033635,0.00125672,0.00130522,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000437,0.00000005,0.00000484,0.00000224,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.14900017,1
2015-02-04[00:00:00],1423004416.00000000,41.40708923,-1.94903564,874.86572266,0.00000000,0.00000000,240.38906860,259.52728271,269.39752197,0.00035113,0.00123792,0.00132926,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001323,0.00000029,0.00000397,0.00000692,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.47100019,1
2015-02-04[00:00:00],1423004416.00000000,41.40667725,-1.91305542,855.76721191,0.00000000,0.00000000,240.39469910,259.63037109,269.41427612,0.00034752,0.00120934,0.00135990,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001553,0.00000055,0.00000326,0.00000807,-0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.70200014,1
2015-02-04[00:00:00],1423004416.00000000,41.40623474,-1.87710571,830.25378418,0.00000000,0.00000000,240.41406250,259.70599365,269.33251953,0.00032936,0.00116690,0.00138600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001367,0.00000093,0.00000269,0.00000705,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.56899977,1
2015-02-04[00:00:00],1423004416.00000000,41.40578461,-1.84112549,796.99627686,0.00000000,0.00000000,240.45730591,259.73001099,269.12564087,0.00029363,0.00111395,0.00141446,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000467,0.00000106,0.00000223,0.00000253,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.64799976,1
2015-02-04[00:00:00],1423004416.00000000,41.40533066,-1.80517578,769.01293945,0.00000000,0.00000000,240.48071289,259.74472046,269.00524902,0.00027271,0.00107977,0.00139837,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000197,0.00000182,0.00000027,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.78100014,1
2015-02-04[00:00:00],1423004416.00000000,41.40485001,-1.76919556,745.14788818,0.00000000,0.00000000,240.49302673,259.74099731,269.07992554,0.00026814,0.00106140,0.00135058,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000335,0.00000141,0.00000012,0.00000227,0.00000000,0.00000000,0.00000000,0.00000000,5.84800005,1
2015-02-04[00:00:00],1423004416.00000000,41.40437698,-1.73324585,727.58209229,0.00000000,0.00000000,240.49798584,259.72790527,269.23114014,0.00026590,0.00105726,0.00125433,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000484,0.00000101,0.00000014,0.00000472,0.00000000,0.00000000,0.00000000,0.00000000,4.80100012,1
2015-02-04[00:00:00],1423004416.00000000,41.40388107,-1.69726562,714.02044678,0.00000000,0.00000000,240.51365662,259.72970581,269.46914673,0.00026627,0.00104865,0.00116416,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000847,0.00000072,0.00000011,0.00001077,0.00000000,0.00000000,0.00000000,0.00000000,4.26399994,1
2015-02-04[00:00:00],1423004416.00000000,41.40337753,-1.66131592,705.32824707,0.00000000,0.00000000,240.53996277,259.74340820,269.72073364,0.00027696,0.00104190,0.00108614,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001354,0.00000047,0.00000044,0.00002886,0.00000000,0.00000000,0.00000000,0.00000000,3.75500011,1
2015-02-04[00:00:00],1423004416.00000000,41.40287018,-1.62536621,700.35803223,0.00000000,0.00000000,240.57206726,259.79647827,269.92648315,0.00029684,0.00103431,0.00103085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002127,0.00000023,0.00000039,0.00005731,0.00000000,0.00000000,0.00000000,0.00000000,4.23799992,1
2015-02-04[00:00:00],1423004416.00000000,41.40233994,-1.58938599,701.56231689,0.00000000,0.00000000,240.61599731,259.76708984,270.11459351,0.00029893,0.00102612,0.00098048,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002428,0.00000013,0.00000044,0.00006635,0.00000000,-0.00000000,0.00000001,0.00000000,4.14300013,1
2015-02-04[00:00:00],1423004416.00000000,41.40180206,-1.55343628,706.05694580,0.00000000,0.00000000,240.66508484,259.69180298,270.26428223,0.00028583,0.00103706,0.00093685,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00002405,0.00000019,0.00000047,0.00006155,0.00000000,0.00000000,0.00000000,0.00000000,3.71799994,1
2015-02-04[00:00:00],1423004416.00000000,41.40126419,-1.51748657,715.48321533,0.00000000,0.00000000,240.71464539,259.48269653,270.35543823,0.00024778,0.00103911,0.00090935,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001900,0.00000044,0.00000043,0.00003481,0.00000000,-0.00000000,0.00000000,0.00000000,3.29900002,1
2015-02-04[00:00:00],1423004416.00000000,41.40069199,-1.48150635,714.46362305,0.00000000,0.00000000,240.75103760,259.38723755,270.49145508,0.00023750,0.00108047,0.00088706,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001562,0.00000066,0.00000037,0.00002089,0.00000000,0.00000000,0.00000000,0.00000000,4.00699997,1
